Klient;ID aukcie;Úèastník;Hodnota
100;1364;2980;27924
100;1364;2981;30540
100;1364;2982;27340
100;1364;2983;28030
100;1365;3543;120000
100;1365;5241;184800
100;1368;3444;149927
100;1368;3896;149417
100;1369;3543;13300
100;1369;3544;16230
100;1369;5241;20750
100;1378;5763;50060
100;1383;3486;1464
100;1383;3490;1560
100;1383;3599;1609.84
100;1383;5759;1400
100;1383;5760;1368
100;1383;5761;1008
100;1385;5240;18900
100;1387;3488;8860.3
100;1387;3599;8960.5
100;1387;3877;9538
100;1387;5761;4766.05
100;1387;5775;7070
100;1388;3538;105370
100;1388;3543;70290
100;1388;5241;63560
100;1389;5249;25000
100;1389;5780;7150
100;1389;5781;31730
100;1390;2980;58350
100;1390;2983;55412
100;1392;2293;162900
100;1392;3408;162753.3
100;1392;3452;178799.4
100;1392;4919;163639.5
100;1393;2980;57355
100;1393;2983;59519
100;1394;2980;28334
100;1394;2981;28935
100;1394;2982;28190
100;1394;2983;27899
100;1398;3933;2200000
100;1398;4186;2740000
100;1398;4190;4339620
100;1398;4197;3144520
100;1398;3933;282492
100;1398;4186;167160
100;1398;4190;300468
100;1398;4197;302820
100;1398;3933;40356
100;1398;4186;23880
100;1398;4190;42924
100;1398;4197;43260
100;1401;2982;84670
100;1402;2978;25920
100;1402;5788;28032
100;1402;5790;34215
100;1403;839;199200
100;1403;2293;232000
100;1403;3408;196719.14
100;1403;3452;211048.2
100;1403;4919;209533.5
100;1403;5792;196400
100;1404;3544;59000
100;1404;5238;59584
100;1404;5793;61400
100;1406;2981;63331
100;1406;2982;62680
100;1411;2980;83139
100;1411;2982;84995
100;1411;2983;86371
100;1412;2293;206185.14
100;1412;2330;235080
100;1412;3408;201427.8
100;1412;5792;200921.7
100;1413;3763;81650
100;1413;5971;82110
100;1413;5972;103500
100;1414;2978;43744
100;1414;2980;41859
100;1414;2981;45900
100;1414;2982;39755
100;1414;2983;45034
100;1414;5970;39816
100;1416;5979;98560
100;1416;5980;167440
100;1416;5983;154000
100;1416;5987;129236.8
100;1416;5989;252000
100;1416;5979;98568
100;1416;5980;168313.68
100;1416;5983;154004.4
100;1416;5987;129243.12
100;1416;5989;252007.2
100;1416;5979;29700
100;1416;5980;15900
100;1416;5983;13500
100;1416;5986;9300
100;1416;5987;37200
100;1416;5988;33900
100;1416;5989;18000
100;1416;5979;29700
100;1416;5980;15900
100;1416;5983;24000
100;1416;5986;23100
100;1416;5987;39000
100;1416;5988;33900
100;1416;5989;18000
100;1416;5979;29700
100;1416;5980;15900
100;1416;5983;37500
100;1416;5986;23100
100;1416;5987;46200
100;1416;5988;35700
100;1416;5989;18000
100;1416;5979;98560
100;1416;5980;165726.4
100;1416;5983;154000
100;1416;5987;129236.8
100;1416;5989;252000
100;1419;2980;66217
100;1419;2981;68492
100;1419;2982;65825
100;1419;2983;67742
100;1420;2980;76018
100;1420;2982;73850
100;1420;2983;74842
100;1423;2293;200860.3
100;1423;3408;200129
100;1423;3452;200850
100;1423;6325;220904.1
100;1427;2982;82861
100;1427;2983;86974
100;1428;5980;191475.2
100;1428;6327;162344
100;1428;5980;192495.84
100;1428;6327;162356.88
100;1428;5980;189616
100;1428;6327;162344
100;1430;2978;27830
100;1430;2980;28326
100;1430;2981;29444
100;1430;2983;29240
100;1430;2984;31600
100;1430;5970;29800
100;1435;2978;23338
100;1435;2980;24255
100;1435;2981;22424
100;1435;2983;23631
100;1435;5970;21883
100;1439;2980;39423
100;1439;2981;42180
100;1439;2982;39900
100;1439;2983;40470
100;1439;5970;39601
100;1441;2980;57360
100;1441;2981;63381
100;1441;2983;57005
100;1441;5970;57050
100;1443;3615;84991
100;1443;6334;88365.95
100;1443;3615;58718
100;1443;6334;75917.3
100;1444;2981;63255
100;1444;2982;57530
100;1444;2983;59810
100;1444;5970;56551
100;1447;2982;69400
100;1447;2983;69215
100;1447;5970;70477
100;1448;2293;110160
100;1448;3408;104425.56
100;1448;3452;112434.6
100;1448;5792;104476.9
100;1448;6325;105247
100;1449;2981;25600
100;1449;2982;23310
100;1449;2983;22711
100;1450;2980;74830
100;1452;2980;61925
100;1452;2982;66525
100;1452;2983;61104
100;1453;3444;177393
100;1454;2980;47762
100;1454;2981;54382
100;1454;2982;51360
100;1454;2983;47470
100;1454;5970;47215
100;1455;2293;102200
100;1455;2330;123980
100;1455;3408;102095.7
100;1455;3452;108321.36
100;1455;6325;106066.8
100;1456;2982;86220
100;1456;2983;81495
100;1458;2980;44255
100;1458;2982;47190
100;1458;2983;43104
100;1458;5970;42842
100;1460;2293;129124.8
100;1460;3408;128868.6
100;1461;2981;37531
100;1461;2982;35630
100;1461;2983;35726
100;1461;5970;34706
100;1463;2983;39893
100;1463;5970;39038
100;1464;2981;55643
100;1464;2982;53550
100;1464;5970;51892
100;1466;2981;51203
100;1466;2982;49270
100;1466;2983;46687
100;1468;2293;122707.6
100;1468;3408;116622.51
100;1468;3415;116521.93
100;1468;6325;118181.5
100;1469;2982;68440
100;1474;2982;67140
100;1474;2983;66420
102;2348;8216;14890
102;2348;8218;14900
102;2348;8257;16225
102;2349;8260;221900
102;2350;8111;69200
102;2350;8281;69299
102;2352;8283;20092.5
102;2352;8284;19211.25
102;2352;8285;19387.5
102;2353;8234;146440
102;2353;8241;146550
102;2353;8258;147650
102;2354;8092;53000
102;2356;8146;59999
102;2356;8147;59651
102;2356;8148;59489
102;2357;8147;229686.6
102;2357;8148;229314.14
102;2359;8244;292500
102;2359;8288;310000
102;2359;8289;315000
102;2360;8290;82800
102;2360;8291;87700
102;2360;8292;98950
102;2360;8293;82900
102;2361;8146;227200
102;2361;8147;228750
102;2361;8148;229314.14
102;2363;8146;58738
102;2363;8147;57118
102;2363;8148;59780
102;2366;8234;88150
102;2366;8299;87995
102;2369;8272;2074500
102;2369;8273;2084000
102;2369;8300;2107873.66
102;2372;8302;46.1
102;2372;8304;58.5
102;2372;8302;6.59
102;2372;8304;8.36
102;2372;8302;22.4
102;2372;8304;42
102;2372;8302;28.99
102;2372;8304;50.36
102;2373;8307;1.8
102;2373;8308;1.8
102;2373;8309;1.695
102;2373;8310;1.7
102;2374;8234;599300
102;2374;8312;599400
102;2375;8230;420448
102;2375;8234;420870
102;2376;8244;298000
102;2376;8313;298999
102;2377;8233;24880
102;2377;8314;29080
102;2378;8317;8809.2
102;2378;8319;6640
102;2379;8192;33580
102;2379;8256;33600
102;2380;8321;31
102;2380;8322;32
102;2380;8323;29
102;2380;8321;45
102;2380;8322;44
102;2380;8323;43
102;2380;8321;2.1
102;2380;8322;2
102;2380;8323;1.9
102;2381;8298;15696
102;2381;8320;14431.5
102;2382;8298;15696
102;2382;8320;14431.5
102;2383;8146;76840
102;2383;8147;77460
102;2383;8148;76700
102;2383;8150;76980
102;2384;8146;76790
102;2384;8147;76860
102;2384;8148;78260
102;2384;8150;78680
102;2385;8146;9760
102;2385;8147;8944
102;2385;8148;9792
