Klient;ID aukcie;ID ˙ËastnÌka;Poradie;;;;NiektorÈ aukcie mÙûu ch˝baù
100;1365;3543;1;;;;
100;1365;5241;2;;;;
100;1366;5243;2;;;;
100;1366;5249;1;;;;
100;1368;3444;1;;;;
100;1368;3896;2;;;;
100;1369;3543;1;;;;
100;1369;3544;2;;;;
100;1369;5241;3;;;;
100;1378;5763;1;;;;
100;1379;3402;5;;;;
100;1379;3519;4;;;;
100;1379;3577;3;;;;
100;1379;3578;1;;;;
100;1379;4206;2;;;;
100;1380;3402;3;;;;
100;1380;3577;2;;;;
100;1380;3578;4;;;;
100;1380;4202;1;;;;
100;1382;3151;5;;;;
100;1382;3390;4;;;;
100;1382;3402;2;;;;
100;1382;3577;6;;;;
100;1382;3602;3;;;;
100;1382;4202;8;;;;
100;1382;5762;7;;;;
100;1382;5767;1;;;;
100;1383;3486;3;;;;
100;1383;3490;4;;;;
100;1383;3599;5;;;;
100;1383;5759;2;;;;
100;1383;5761;1;;;;
100;1385;5240;1;;;;
100;1386;5770;2;;;;
100;1386;5772;1;;;;
100;1387;3488;3;;;;
100;1387;3599;4;;;;
100;1387;3877;5;;;;
100;1387;5761;1;;;;
100;1387;5775;2;;;;
100;1388;3538;3;;;;
100;1388;3543;2;;;;
100;1388;5241;1;;;;
100;1389;5249;2;;;;
100;1389;5780;1;;;;
100;1389;5781;3;;;;
100;1392;2293;2;;;;
100;1392;3408;1;;;;
100;1392;3452;4;;;;
100;1392;4919;3;;;;
100;1397;5784;2;;;;
100;1397;5785;3;;;;
100;1397;5786;1;;;;
100;1402;2978;1;;;;
100;1402;5788;2;;;;
100;1402;5790;3;;;;
100;1403;839;3;;;;
100;1403;2293;6;;;;
100;1403;3408;1;;;;
100;1403;3452;5;;;;
100;1403;4919;4;;;;
100;1403;5792;2;;;;
100;1404;3544;1;;;;
100;1404;5238;2;;;;
100;1404;5793;3;;;;
100;1412;2293;3;;;;
100;1412;2330;4;;;;
100;1412;3408;2;;;;
100;1412;5792;1;;;;
100;1413;3763;1;;;;
100;1413;5971;2;;;;
100;1416;5979;1;;;;
100;1416;5980;3;;;;
100;1416;5983;4;;;;
100;1416;5987;2;;;;
100;1416;5989;5;;;;
100;1423;2293;2;;;;
100;1423;3408;1;;;;
100;1423;3452;3;;;;
100;1423;6325;4;;;;
100;1424;3519;1;;;;
100;1424;3577;3;;;;
100;1424;6330;2;;;;
100;1425;3577;2;;;;
100;1425;4206;1;;;;
100;1425;6330;3;;;;
100;1426;3390;2;;;;
100;1426;3464;5;;;;
100;1426;3577;4;;;;
100;1426;3602;3;;;;
100;1426;6330;1;;;;
100;1428;5980;2;;;;
100;1428;6327;1;;;;
100;1443;3615;1;;;;
100;1443;6334;2;;;;
100;1448;2293;4;;;;
100;1448;3408;1;;;;
100;1448;3452;5;;;;
100;1448;5792;2;;;;
100;1448;6325;3;;;;
100;1453;3444;1;;;;
100;1455;2293;2;;;;
100;1455;2330;5;;;;
100;1455;3408;1;;;;
100;1455;3452;4;;;;
100;1455;6325;3;;;;
100;1460;2293;2;;;;
100;1460;3408;1;;;;
100;1468;2293;4;;;;
100;1468;3408;2;;;;
100;1468;3415;1;;;;
100;1468;6325;3;;;;
102;2348;8216;1;;;;
102;2348;8218;2;;;;
102;2348;8257;3;;;;
102;2349;8260;1;;;;
102;2350;8111;1;;;;
102;2350;8281;2;;;;
102;2352;8283;3;;;;
102;2352;8284;1;;;;
102;2352;8285;2;;;;
102;2353;8234;1;;;;
102;2353;8241;2;;;;
102;2353;8258;3;;;;
102;2354;8092;1;;;;
102;2356;8146;3;;;;
102;2356;8147;2;;;;
102;2356;8148;1;;;;
102;2357;8147;2;;;;
102;2357;8148;1;;;;
102;2359;8244;1;;;;
102;2359;8288;2;;;;
102;2359;8289;3;;;;
102;2360;8290;1;;;;
102;2360;8291;3;;;;
102;2360;8292;4;;;;
102;2360;8293;2;;;;
102;2361;8146;1;;;;
102;2361;8147;2;;;;
102;2361;8148;3;;;;
102;2363;8146;2;;;;
102;2363;8147;1;;;;
102;2363;8148;3;;;;
102;2366;8234;2;;;;
102;2366;8299;1;;;;
102;2369;8272;1;;;;
102;2369;8273;2;;;;
102;2369;8300;3;;;;
102;2372;8302;1;;;;
102;2372;8304;2;;;;
102;2373;8307;4;;;;
102;2373;8308;3;;;;
102;2373;8309;1;;;;
102;2373;8310;2;;;;
102;2374;8234;1;;;;
102;2374;8312;2;;;;
102;2375;8230;1;;;;
102;2375;8234;2;;;;
102;2376;8244;1;;;;
102;2376;8313;2;;;;
102;2377;8233;1;;;;
102;2377;8314;2;;;;
102;2378;8317;2;;;;
102;2378;8319;1;;;;
102;2379;8192;1;;;;
102;2379;8256;2;;;;
102;2380;8321;2;;;;
102;2380;8322;3;;;;
102;2380;8323;1;;;;
102;2381;8298;2;;;;
102;2381;8320;1;;;;
102;2382;8298;2;;;;
102;2382;8320;1;;;;
102;2383;8146;2;;;;
102;2383;8147;4;;;;
102;2383;8148;1;;;;
102;2383;8150;3;;;;
102;2384;8146;1;;;;
102;2384;8147;2;;;;
102;2384;8148;3;;;;
102;2384;8150;4;;;;
102;2385;8146;3;;;;
102;2385;8147;1;;;;
102;2385;8148;4;;;;
102;2385;8150;2;;;;
102;2387;8290;2;;;;
102;2387;8324;3;;;;
102;2387;8325;1;;;;
102;2388;8233;2;;;;
102;2388;8330;1;;;;
102;2389;8092;1;;;;
102;2390;7979;1;;;;
102;2390;7983;2;;;;
102;2390;8331;4;;;;
102;2390;8332;3;;;;
102;2391;8233;1;;;;
102;2391;8314;2;;;;
102;2392;8148;1;;;;
102;2393;8216;1;;;;
102;2393;8218;2;;;;
102;2393;8257;3;;;;
102;2394;8237;2;;;;
102;2394;8334;1;;;;
102;2395;8234;1;;;;
102;2395;8241;2;;;;
102;2395;8334;3;;;;
102;2396;8299;2;;;;
102;2396;8312;1;;;;
102;2398;8326;1;;;;
102;2398;8327;2;;;;
102;2401;8337;1;;;;
1040;5835;11421;2;;;;
1040;5835;11422;3;;;;
1040;5835;11691;1;;;;
1040;5837;16836;2;;;;
1040;5837;17793;1;;;;
1040;5838;16836;2;;;;
1040;5838;17742;3;;;;
1040;5838;17793;1;;;;
1040;5839;17798;1;;;;
1065;5887;17755;2;;;;
1065;5887;17759;1;;;;
1065;5891;16511;2;;;;
1065;5891;16512;1;;;;
1065;5892;16511;1;;;;
1065;5892;16512;2;;;;
1065;5892;16663;3;;;;
1065;5895;16511;1;;;;
1065;5895;16512;2;;;;
1065;5896;16511;2;;;;
1065;5896;16512;1;;;;
106;5420;7662;1;;;;
106;5523;9230;1;;;;
106;5523;9232;2;;;;
106;5524;7565;3;;;;
106;5524;8617;2;;;;
106;5524;9830;1;;;;
106;5525;6815;2;;;;
106;5525;9518;1;;;;
106;5528;7244;1;;;;
106;5528;9159;2;;;;
106;5528;9272;3;;;;
106;5530;7124;1;;;;
106;5531;7477;1;;;;
106;5531;7481;3;;;;
106;5531;7482;2;;;;
106;5532;9648;2;;;;
106;5532;9649;1;;;;
106;5532;9650;3;;;;
106;5532;9652;4;;;;
106;5533;6477;2;;;;
106;5533;8097;1;;;;
106;5534;6899;1;;;;
106;5535;6914;1;;;;
106;5536;9615;2;;;;
106;5536;9616;1;;;;
106;5537;8173;3;;;;
106;5537;8175;1;;;;
106;5537;8780;2;;;;
106;5538;8170;1;;;;
106;5538;8172;2;;;;
106;5539;5882;2;;;;
106;5539;9654;1;;;;
106;5539;9655;3;;;;
106;5540;8925;1;;;;
106;5540;8929;2;;;;
106;5540;9656;3;;;;
106;5541;9657;1;;;;
106;5541;9658;3;;;;
106;5541;9659;2;;;;
106;5542;8907;2;;;;
106;5542;9661;1;;;;
106;5543;7797;2;;;;
106;5543;9663;1;;;;
106;5544;6783;1;;;;
106;5545;6639;1;;;;
106;5545;6640;2;;;;
106;5545;6641;3;;;;
106;5546;9664;1;;;;
106;5546;9665;3;;;;
106;5546;9666;2;;;;
106;5550;6783;1;;;;
106;5551;6642;1;;;;
106;5551;6649;2;;;;
106;5552;6642;1;;;;
106;5554;9667;1;;;;
106;5556;6642;1;;;;
106;5556;9669;2;;;;
106;5557;9670;1;;;;
106;5557;9671;2;;;;
106;5557;9672;3;;;;
106;5558;8388;1;;;;
106;5558;9673;2;;;;
106;5559;7312;1;;;;
106;5559;7313;2;;;;
106;5560;9631;1;;;;
106;5560;9647;2;;;;
106;5562;6731;1;;;;
106;5562;6733;2;;;;
106;5562;9646;3;;;;
106;5563;9075;1;;;;
106;5563;9675;2;;;;
106;5564;9678;1;;;;
106;5565;7173;1;;;;
106;5565;9679;2;;;;
106;5566;9683;1;;;;
106;5567;9677;1;;;;
106;5568;8261;2;;;;
106;5568;8262;1;;;;
106;5568;8264;3;;;;
106;5569;8128;1;;;;
106;5570;7440;1;;;;
106;5570;8878;2;;;;
106;5571;9685;1;;;;
106;5571;9686;3;;;;
106;5571;9687;2;;;;
106;5572;9654;1;;;;
106;5572;9688;3;;;;
106;5572;9689;2;;;;
106;5573;9611;1;;;;
106;5573;9612;2;;;;
106;5573;9613;3;;;;
106;5574;9230;1;;;;
106;5574;9232;2;;;;
106;5574;9660;3;;;;
106;5578;8546;2;;;;
106;5578;8547;1;;;;
106;5579;6639;3;;;;
106;5579;6641;2;;;;
106;5579;6755;1;;;;
106;5580;6639;3;;;;
106;5580;6754;1;;;;
106;5580;6755;2;;;;
106;5581;5882;2;;;;
106;5581;9654;1;;;;
106;5581;9655;3;;;;
106;5582;9692;1;;;;
106;5584;9699;1;;;;
