Klient;ID aukcie;ID ucastnika;Hodnota
100;1364;2978;25900
100;1364;2980;27924
100;1364;2981;30540
100;1364;2982;27340
100;1364;2983;28030
100;1364;2984;26424
100;1365;3543;120000
100;1365;5241;184800
100;1366;5243;186780
100;1366;5249;169500
100;1368;3444;149927
100;1368;3896;149417
100;1369;3538;10250
100;1369;3543;13300
100;1369;3544;16230
100;1369;5241;20750
100;1378;3544;17000
100;1378;5763;50060
100;1379;3151;77971
100;1379;3402;361462.4
100;1379;3519;313588.41
100;1379;3577;309808.3
100;1379;3578;265621.29
100;1379;3804;61504
100;1379;4202;92360
100;1379;4206;306515.7
100;1380;3151;1078850.49
100;1380;3402;1275969.8
100;1380;3523;840332.89
100;1380;3577;1180338.8
100;1380;3578;1341123.52
100;1380;3602;1167451.6
100;1380;3944;1047262.4
100;1380;4132;84973.68
100;1380;4202;1166166.9
100;1380;4206;840331.5
100;1380;4209;68839.9
100;1380;5766;1209612
100;1380;5767;190328.36
100;1380;5768;743931.43
100;1382;3151;746434.75
100;1382;3390;718508.2
100;1382;3402;710042.87
100;1382;3523;260110
100;1382;3577;820210.2
100;1382;3578;276206.2
100;1382;3602;716382.05
100;1382;3804;525197.99
100;1382;3944;585165.7
100;1382;4202;1043608
100;1382;5762;909707.5
100;1382;5767;674587.33
100;1383;3486;1464
100;1383;3490;1560
100;1383;3599;1609.84
100;1383;5759;1400
100;1383;5760;1368
100;1383;5761;1008
100;1385;3544;11995
100;1385;5240;18900
100;1385;5241;25365
100;1386;5770;846700
100;1386;5772;799000
100;1387;3488;8860.3
100;1387;3599;8960.5
100;1387;3877;9538
100;1387;5761;4766.05
100;1387;5775;7070
100;1388;3538;105370
100;1388;3543;70290
100;1388;5241;63560
100;1389;5249;25000
100;1389;5780;7150
100;1389;5781;31730
100;1390;2978;48768
100;1390;2980;58350
100;1390;2983;55412
100;1391;2980;186220
100;1391;3163;187330.3
100;1391;3199;191829.6
100;1391;4223;186978
100;1392;2293;162900
100;1392;3408;162753.3
100;1392;3452;178799.4
100;1392;4919;163639.5
100;1393;2976;2025
100;1393;2978;47610
100;1393;2980;57355
100;1393;2983;59519
100;1393;2984;58607
100;1394;2976;1350
100;1394;2978;26606
100;1394;2980;28334
100;1394;2981;28935
100;1394;2982;28190
100;1394;2983;27899
100;1394;2984;27010
100;1396;2980;158630
100;1396;3163;161796.4
100;1396;3199;166875
100;1396;4223;162256.6
100;1397;5784;2001
100;1397;5785;2272
100;1397;5786;500
100;1398;3933;2699303
100;1398;4186;3122660
100;1398;4187;1
100;1398;4190;4761082
100;1398;4197;3676797
100;1401;2978;4464
100;1401;2980;72614
100;1401;2981;73630
100;1401;2982;84670
100;1401;2983;84514
100;1401;2984;81699
100;1402;2978;25920
100;1402;5788;28032
100;1402;5790;34215
100;1403;839;199200
100;1403;2293;232000
100;1403;3408;196719.138
100;1403;3452;211048.2
100;1403;4919;209533.5
100;1403;5792;196400
100;1404;3544;59000
100;1404;5238;59584
100;1404;5793;61400
100;1405;3163;208779.2
100;1405;3212;205852
100;1406;2978;16618
100;1406;2980;60048
100;1406;2981;63331
100;1406;2982;62680
100;1406;2983;60808
100;1406;2984;61965
100;1408;2980;171730
100;1408;3163;163833.7
100;1408;3199;175079.4
100;1408;4223;166586.5
100;1410;3163;141843.2
100;1411;2976;2880
100;1411;2978;65765
100;1411;2980;83139
100;1411;2982;84995
100;1411;2983;86371
100;1411;2984;85460
100;1411;5970;57244
100;1412;2293;206185.14
100;1412;2330;235080
100;1412;3408;201427.8
100;1412;5792;200921.7
100;1413;3763;81650
100;1413;5971;82110
100;1413;5972;103500
100;1414;2976;3720
100;1414;2978;43744
100;1414;2980;41859
100;1414;2981;45900
100;1414;2982;39755
100;1414;2983;45034
100;1414;2984;43730
100;1414;5970;39816
100;1415;2980;156958
100;1415;3163;158640.9
100;1415;3199;159294.8
100;1415;4223;158187.6
100;1415;5978;134611
100;1416;5979;85507
100;1416;5980;121406.269
100;1416;5983;124979.35
100;1416;5986;14825
100;1416;5987;115683.133
100;1416;5988;23500
100;1416;5989;180000.3
100;1417;3163;121363.2
100;1417;3212;175675.4
100;1417;5977;112976
100;1419;2976;2800
100;1419;2978;19770
100;1419;2980;66217
100;1419;2981;68492
100;1419;2982;65825
100;1419;2983;67742
100;1419;5970;49214
100;1420;2976;2600
100;1420;2978;43694
100;1420;2980;76018
100;1420;2982;73850
100;1420;2983;74842
100;1420;5970;69356
100;1422;2980;158889
100;1422;3163;161026.3
100;1422;3199;161579.4
100;1422;4223;160165.7
100;1422;5978;136315
100;1423;2293;200860.3
100;1423;3408;200129
100;1423;3452;200850
100;1423;6325;220904.1
100;1424;3151;72368
100;1424;3464;72572
100;1424;3519;278844.29
100;1424;3577;358323.1
100;1424;3804;60810
100;1424;6330;286770.42
100;1425;3151;57096.99
100;1425;3390;985860.92
100;1425;3464;1075619.99
100;1425;3520;1347641
100;1425;3523;908920.2
100;1425;3577;1319512
100;1425;3602;278643.9
100;1425;3942;153133.4
100;1425;4132;67390.9
100;1425;4206;1077902
100;1425;6330;1669712.08
100;1425;6331;826103.7
100;1426;3390;604650.6
100;1426;3464;652987.9
100;1426;3520;284189
100;1426;3523;270883.6
100;1426;3577;650937.5
100;1426;3602;627791.2
100;1426;3804;482302.1
100;1426;3942;553856.6
100;1426;4132;92452
100;1426;4206;424574.5
100;1426;6330;555335.33
100;1427;2976;3900
100;1427;2978;7230
100;1427;2980;57166
100;1427;2982;82861
100;1427;2983;86974
100;1427;5970;69052
100;1428;5980;126763.062
100;1428;6327;108229.865
100;1429;3444;-18599.41
100;1429;3890;-17795.708
100;1429;3891;-18200.84
100;1429;3893;-17970.78
100;1429;3896;-15866.391
100;1429;3930;-18232.9678
